"id","district_id","case_id","date","total"
35,"3204",2,"2020-08-05",274
170,"3216",5,"2020-08-05",0
181,"3217",5,"2020-08-05",0
192,"3218",5,"2020-08-05",0
203,"3271",5,"2020-08-05",0
214,"3272",5,"2020-08-05",0
225,"3273",5,"2020-08-05",0
236,"3274",5,"2020-08-05",0
247,"3275",5,"2020-08-05",0
258,"3276",5,"2020-08-05",0
269,"3277",5,"2020-08-05",0
280,"3278",5,"2020-08-05",0
291,"3279",5,"2020-08-05",0
297,"3279",11,"2020-08-05",0
286,"3278",11,"2020-08-05",0
275,"3277",11,"2020-08-05",0
264,"3276",11,"2020-08-05",0
253,"3275",11,"2020-08-05",0
242,"3274",11,"2020-08-05",0
231,"3273",11,"2020-08-05",0
220,"3272",11,"2020-08-05",0
209,"3271",11,"2020-08-05",0
198,"3218",11,"2020-08-05",0
187,"3217",11,"2020-08-05",0
176,"3216",11,"2020-08-05",0
165,"3215",11,"2020-08-05",0
154,"3214",11,"2020-08-05",0
143,"3213",11,"2020-08-05",0
132,"3212",11,"2020-08-05",0
121,"3211",11,"2020-08-05",0
110,"3210",11,"2020-08-05",0
99,"3209",11,"2020-08-05",0
88,"3208",11,"2020-08-05",0
77,"3207",11,"2020-08-05",0
66,"3206",11,"2020-08-05",0
55,"3205",11,"2020-08-05",0
44,"3204",11,"2020-08-05",0
33,"3203",11,"2020-08-05",0
22,"3202",11,"2020-08-05",0
11,"3201",11,"2020-08-05",0
150,"3214",7,"2020-08-05",0
139,"3213",7,"2020-08-05",0
128,"3212",7,"2020-08-05",0
117,"3211",7,"2020-08-05",0
106,"3210",7,"2020-08-05",0
95,"3209",7,"2020-08-05",0
84,"3208",7,"2020-08-05",0
73,"3207",7,"2020-08-05",3
62,"3206",7,"2020-08-05",0
51,"3205",7,"2020-08-05",0
40,"3204",7,"2020-08-05",0
29,"3203",7,"2020-08-05",0
18,"3202",7,"2020-08-05",0
7,"3201",7,"2020-08-05",0
292,"3279",6,"2020-08-05",0
281,"3278",6,"2020-08-05",0
270,"3277",6,"2020-08-05",0
259,"3276",6,"2020-08-05",0
248,"3275",6,"2020-08-05",0
237,"3274",6,"2020-08-05",0
226,"3273",6,"2020-08-05",0
215,"3272",6,"2020-08-05",0
204,"3271",6,"2020-08-05",0
193,"3218",6,"2020-08-05",0
182,"3217",6,"2020-08-05",0
171,"3216",6,"2020-08-05",1
160,"3215",6,"2020-08-05",0
149,"3214",6,"2020-08-05",0
138,"3213",6,"2020-08-05",0
127,"3212",6,"2020-08-05",0
116,"3211",6,"2020-08-05",0
105,"3210",6,"2020-08-05",0
94,"3209",6,"2020-08-05",0
83,"3208",6,"2020-08-05",0
72,"3207",6,"2020-08-05",0
61,"3206",6,"2020-08-05",0
50,"3205",6,"2020-08-05",0
6,"3201",6,"2020-08-05",0
17,"3202",6,"2020-08-05",0
28,"3203",6,"2020-08-05",0
39,"3204",6,"2020-08-05",0
2,"3201",2,"2020-08-05",0
13,"3202",2,"2020-08-05",332
24,"3203",2,"2020-08-05",0
159,"3215",5,"2020-08-05",0
46,"3205",2,"2020-08-05",2250
57,"3206",2,"2020-08-05",0
68,"3207",2,"2020-08-05",1292
79,"3208",2,"2020-08-05",467
90,"3209",2,"2020-08-05",255
101,"3210",2,"2020-08-05",160
112,"3211",2,"2020-08-05",125
123,"3212",2,"2020-08-05",200
134,"3213",2,"2020-08-05",405
145,"3214",2,"2020-08-05",493
156,"3215",2,"2020-08-05",1319
167,"3216",2,"2020-08-05",1992
178,"3217",2,"2020-08-05",462
189,"3218",2,"2020-08-05",537
200,"3271",2,"2020-08-05",824
211,"3272",2,"2020-08-05",1445
222,"3273",2,"2020-08-05",3537
233,"3274",2,"2020-08-05",188
244,"3275",2,"2020-08-05",0
255,"3276",2,"2020-08-05",2745
266,"3277",2,"2020-08-05",3608
277,"3278",2,"2020-08-05",685
288,"3279",2,"2020-08-05",187
1,"3201",1,"2020-08-05",0
296,"3279",10,"2020-08-05",111
285,"3278",10,"2020-08-05",0
274,"3277",10,"2020-08-05",526
263,"3276",10,"2020-08-05",5652
252,"3275",10,"2020-08-05",0
241,"3274",10,"2020-08-05",367
230,"3273",10,"2020-08-05",0
219,"3272",10,"2020-08-05",329
208,"3271",10,"2020-08-05",2231
197,"3218",10,"2020-08-05",573
186,"3217",10,"2020-08-05",773
175,"3216",10,"2020-08-05",1535
164,"3215",10,"2020-08-05",6075
153,"3214",10,"2020-08-05",686
142,"3213",10,"2020-08-05",5787
131,"3212",10,"2020-08-05",1293
120,"3211",10,"2020-08-05",52
109,"3210",10,"2020-08-05",660
98,"3209",10,"2020-08-05",295
87,"3208",10,"2020-08-05",307
76,"3207",10,"2020-08-05",0
65,"3206",10,"2020-08-05",0
54,"3205",10,"2020-08-05",244
43,"3204",10,"2020-08-05",2179
32,"3203",10,"2020-08-05",0
21,"3202",10,"2020-08-05",4714
10,"3201",10,"2020-08-05",0
3,"3201",3,"2020-08-05",0
14,"3202",3,"2020-08-05",0
25,"3203",3,"2020-08-05",0
36,"3204",3,"2020-08-05",0
47,"3205",3,"2020-08-05",0
58,"3206",3,"2020-08-05",0
69,"3207",3,"2020-08-05",0
80,"3208",3,"2020-08-05",0
91,"3209",3,"2020-08-05",0
102,"3210",3,"2020-08-05",0
113,"3211",3,"2020-08-05",0
124,"3212",3,"2020-08-05",0
135,"3213",3,"2020-08-05",0
146,"3214",3,"2020-08-05",0
157,"3215",3,"2020-08-05",0
168,"3216",3,"2020-08-05",0
179,"3217",3,"2020-08-05",0
190,"3218",3,"2020-08-05",0
201,"3271",3,"2020-08-05",0
212,"3272",3,"2020-08-05",0
223,"3273",3,"2020-08-05",0
234,"3274",3,"2020-08-05",0
245,"3275",3,"2020-08-05",0
256,"3276",3,"2020-08-05",0
267,"3277",3,"2020-08-05",0
278,"3278",3,"2020-08-05",0
289,"3279",3,"2020-08-05",0
12,"3202",1,"2020-08-05",0
23,"3203",1,"2020-08-05",0
34,"3204",1,"2020-08-05",0
45,"3205",1,"2020-08-05",132
56,"3206",1,"2020-08-05",0
67,"3207",1,"2020-08-05",3
78,"3208",1,"2020-08-05",4
89,"3209",1,"2020-08-05",187
100,"3210",1,"2020-08-05",260
111,"3211",1,"2020-08-05",0
122,"3212",1,"2020-08-05",35
133,"3213",1,"2020-08-05",50
144,"3214",1,"2020-08-05",39
155,"3215",1,"2020-08-05",118
