"id","province_id","case_id","date","total"
1,"32",1,"2020-08-05",1815
12,"32",1,"2020-08-06",197
23,"32",1,"2020-08-07",37
34,"32",1,"2020-08-08",224
45,"32",1,"2020-08-09",120
56,"32",1,"2020-08-10",114
2,"32",2,"2020-08-05",23782
13,"32",2,"2020-08-06",144
24,"32",2,"2020-08-07",8
35,"32",2,"2020-08-08",83
46,"32",2,"2020-08-09",36
57,"32",2,"2020-08-10",49
3,"32",3,"2020-08-05",0
14,"32",3,"2020-08-06",0
25,"32",3,"2020-08-07",0
36,"32",3,"2020-08-08",0
47,"32",3,"2020-08-09",0
58,"32",3,"2020-08-10",0
4,"32",4,"2020-08-05",0
15,"32",4,"2020-08-06",211
26,"32",4,"2020-08-07",4
37,"32",4,"2020-08-08",3
48,"32",4,"2020-08-09",4
59,"32",4,"2020-08-10",0
5,"32",5,"2020-08-05",0
16,"32",5,"2020-08-06",3281
27,"32",5,"2020-08-07",0
38,"32",5,"2020-08-08",0
49,"32",5,"2020-08-09",0
60,"32",5,"2020-08-10",0
6,"32",6,"2020-08-05",1
17,"32",6,"2020-08-06",35
28,"32",6,"2020-08-07",36
39,"32",6,"2020-08-08",36
50,"32",6,"2020-08-09",37
61,"32",6,"2020-08-10",1
7,"32",7,"2020-08-05",49
18,"32",7,"2020-08-06",63
29,"32",7,"2020-08-07",63
40,"32",7,"2020-08-08",213
51,"32",7,"2020-08-09",215
62,"32",7,"2020-08-10",6
8,"32",8,"2020-08-05",405
19,"32",8,"2020-08-06",419
30,"32",8,"2020-08-07",419
41,"32",8,"2020-08-08",442
52,"32",8,"2020-08-09",491
63,"32",8,"2020-08-10",364
9,"32",9,"2020-08-05",21270
20,"32",9,"2020-08-06",218
31,"32",9,"2020-08-07",21
42,"32",9,"2020-08-08",60
53,"32",9,"2020-08-09",249
64,"32",9,"2020-08-10",12
10,"32",10,"2020-08-05",34389
21,"32",10,"2020-08-06",24081
32,"32",10,"2020-08-07",27
43,"32",10,"2020-08-08",69
54,"32",10,"2020-08-09",3815
65,"32",10,"2020-08-10",76
11,"32",11,"2020-08-05",0
22,"32",11,"2020-08-06",2039
33,"32",11,"2020-08-07",4
44,"32",11,"2020-08-08",4
55,"32",11,"2020-08-09",0
66,"32",11,"2020-08-10",8
